"filename", "language", "Dart", "JSON", "YAML", "Markdown", "comment", "blank", "total"
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_with_price.dart", "Dart", 174, 0, 0, 0, 0, 7, 181
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\sales_req_permissions.dart", "Dart", 165, 0, 0, 0, 0, 9, 174
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\thumbnail.dart", "Dart", 119, 0, 0, 0, 0, 4, 123
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\trading_point.dart", "Dart", 214, 0, 0, 0, 4, 13, 231
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\trading_point_with_permissions.dart", "Dart", 87, 0, 0, 0, 12, 15, 114
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\user_organization.dart", "Dart", 64, 0, 0, 0, 12, 12, 88
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\user_warehouse.dart", "Dart", 58, 0, 0, 0, 0, 7, 65
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\visit_data.dart", "Dart", 232, 0, 0, 0, 6, 17, 255
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\visit_plan.dart", "Dart", 77, 0, 0, 0, 0, 4, 81
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\visit_plan_list.dart", "Dart", 71, 0, 0, 0, 0, 4, 75
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\repositories\agent_repository.dart", "Dart", 289, 0, 0, 0, 40, 33, 362
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\repositories\visit_data_repository.dart", "Dart", 125, 0, 0, 0, 34, 32, 191
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\domain\repositories\agent_repository.dart", "Dart", 2, 0, 0, 0, 3, 1, 6
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\bloc\client_balance_cubit.dart", "Dart", 213, 0, 0, 0, 64, 55, 332
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\bloc\client_balance_state.dart", "Dart", 149, 0, 0, 0, 50, 35, 234
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\agent_home_modern.dart", "Dart", 1992, 0, 0, 0, 88, 172, 2252
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\agent_home_page.dart", "Dart", 907, 0, 0, 0, 27, 57, 991
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\agent_page_backup.dart", "Dart", 803, 0, 0, 0, 18, 45, 866
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\akb_client_report_page.dart", "Dart", 190, 0, 0, 0, 1, 14, 205
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\client_balance_details_page.dart", "Dart", 923, 0, 0, 0, 75, 71, 1069
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\client_images_management_page.dart", "Dart", 546, 0, 0, 0, 28, 36, 610
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\client_images_page.dart", "Dart", 1677, 0, 0, 0, 119, 159, 1955
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\contract_detail_page.dart", "Dart", 929, 0, 0, 0, 5, 22, 956
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\contracts_page.dart", "Dart", 1173, 0, 0, 0, 54, 89, 1316
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\create_client_page.dart", "Dart", 1228, 0, 0, 0, 48, 89, 1365
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\db_view_page.dart", "Dart", 822, 0, 0, 0, 2, 52, 876
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\fullscreen_map_page.dart", "Dart", 268, 0, 0, 0, 19, 23, 310
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\generic_report_page.dart", "Dart", 173, 0, 0, 0, 2, 11, 186
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\main_agent_screen.dart", "Dart", 40, 0, 0, 0, 4, 6, 50
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\main_report_page.dart", "Dart", 1822, 0, 0, 0, 255, 124, 2201
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\map_detail_page.dart", "Dart", 33, 0, 0, 0, 0, 3, 36
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\map_pages\map_detail_page_google.dart", "Dart", 1162, 0, 0, 0, 102, 123, 1387
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\map_pages\map_detail_page_osm.dart", "Dart", 1793, 0, 0, 0, 173, 168, 2134
